ID,AUDITUSER,AUDITTIMESTAMP,NAME,R,G,B,RECORDER
--,---------,--------------,----,-,-,-,--------
1,NARANJODL,"2024-02-19 14:05:03.000",Black,0,0,0,1
2,NARANJODL,"2024-02-19 14:05:03.000",White,255,255,255,2
3,NARANJODL,"2024-02-19 14:05:03.000","Hach Dark Gray",77,77,77,3
4,NARANJODL,"2024-02-19 14:05:03.000","Dark Gray",128,128,128,4
5,NARANJODL,"2024-02-19 14:05:03.000","Gray 15",192,192,192,5
6,NARANJODL,"2024-02-19 14:05:03.000",Gray,223,223,223,6
7,NARANJODL,"2024-02-19 14:05:03.000","Light Gray",232,232,232,7
8,NARANJODL,"2024-02-19 14:05:03.000",Red,255,0,0,8
9,NARANJODL,"2024-02-19 14:05:03.000",Yellow,255,255,0,9
10,NARANJODL,"2024-02-19 14:05:03.000","Medium yellow",255,255,128,10
11,NARANJODL,"2024-02-19 14:05:03.000","Light Yellow",255,255,153,11
12,NARANJODL,"2024-02-19 14:05:03.000","Off White",254,255,202,12
13,NARANJODL,"2024-02-19 14:05:03.000",Olive,128,128,0,13
14,NARANJODL,"2024-02-19 14:05:03.000","Light Olive",226,227,172,14
15,NARANJODL,"2024-02-19 14:05:03.000",Sand,215,201,175,15
16,NARANJODL,"2024-02-19 14:05:03.000",Green,0,255,0,16
17,NARANJODL,"2024-02-19 14:05:03.000","Green 2",155,187,89,17
18,NARANJODL,"2024-02-19 14:05:03.000","Green 3",215,228,188,18
19,NARANJODL,"2024-02-19 14:05:03.000","Green 4",234,241,221,19
20,NARANJODL,"2024-02-19 14:05:03.000","Light Green",128,255,128,20
21,NARANJODL,"2024-02-19 14:05:03.000","Pale Green",204,255,204,21
22,NARANJODL,"2024-02-19 14:05:03.000",Blue,0,0,255,22
23,NARANJODL,"2024-02-19 14:05:03.000","Medium Blue",51,102,255,23
24,NARANJODL,"2024-02-19 14:05:03.000","Hach Blue Old",0,83,142,24
25,NARANJODL,"2024-02-19 14:05:03.000","Hach Blue",0,152,219,25
26,NARANJODL,"2024-02-19 14:05:03.000","Light Blue",0,128,192,26
27,NARANJODL,"2024-02-19 14:05:03.000","Blue 2",83,142,213,27
28,NARANJODL,"2024-02-19 14:05:03.000","Blue 3",184,204,228,28
29,NARANJODL,"2024-02-19 14:05:03.000","Light Blue 2",219,229,241,29
30,NARANJODL,"2024-02-19 14:05:03.000","Sky Blue",0,204,255,30
31,NARANJODL,"2024-02-19 14:05:03.000","Pale Blue",153,204,255,31
32,NARANJODL,"2024-02-19 14:05:03.000","Lock Back Color",223,255,255,32
33,NARANJODL,"2024-02-19 14:05:03.000","Lite Blue-Gray",153,153,255,33
34,NARANJODL,"2024-02-19 14:05:03.000","Excel Orange",255,192,0,34
35,NARANJODL,"2024-02-19 14:05:03.000","Excel Orange Accent",247,150,7,35
36,NARANJODL,"2024-02-19 14:05:03.000","Excel Orange"," Lighter 80%",253,233,217
37,NARANJODL,"2024-02-19 14:05:03.000","Excel Orange"," Lighter 60%",252,213,180
38,NARANJODL,"2024-02-19 14:05:03.000","Excel Orange"," Lighter 40%",250,191,143
39,NARANJODL,"2024-02-19 14:05:03.000","Excel Orange"," Darker 25%",226,107,10
40,NARANJODL,"2024-02-19 14:05:03.000","Excel Orange"," Darker 50%",151,71,6
41,NARANJODL,"2024-02-19 14:05:03.000","Hach Accent Orange",216,140,2,41
42,NARANJODL,"2024-02-19 14:05:03.000",Burgandy,128,0,0,42
43,NARANJODL,"2024-02-19 14:05:03.000","Dark Red",192,0,0,43
44,NARANJODL,"2024-02-19 14:05:03.000","Excel Red"," Accent 2",192,80,77
45,NARANJODL,"2024-02-19 14:05:03.000","Excel Red"," Accent 2"," 80%",242,220
46,NARANJODL,"2024-02-19 14:05:03.000","Excel Red"," Accent 2"," 60%",230,184
47,NARANJODL,"2024-02-19 14:05:03.000","Excel Red"," Accent 2"," 40%",218,150
48,NARANJODL,"2024-02-19 14:05:03.000","Excel Red"," Accent 2"," 125%",150,54
49,NARANJODL,"2024-02-19 14:05:03.000",Cyan,0,255,255,49
50,NARANJODL,"2024-02-19 14:05:03.000","Light Turquoise",204,255,255,50
51,NARANJODL,"2024-02-19 14:05:03.000",Magenta,255,0,255,51
52,NARANJODL,"2024-02-19 14:05:03.000",Plum,102,0,102,52
53,NARANJODL,"2024-02-19 14:05:03.000",Tan,255,204,153,53
