AUDITUSER,AUDITTIMESTAMP,DATESTAMP,VARID,CURVALUE,TEXTVALUE,STATUS,FORCED
---------,--------------,---------,-----,--------,---------,------,------
"Q12351 LIMS","2025-09-11 10:39:45.723","2025-07-30 09:39:00.000",2299,0.29999999999999999,0.300,0,0
"Q12351 LIMS","2025-09-11 10:39:46.050","2025-07-30 09:40:00.000",2299,1.0,1,0,0
"Q12351 LIMS","2025-09-11 10:39:46.407","2025-07-30 09:41:00.000",2299,2.0,2,0,0
"Q12351 LIMS","2025-09-11 10:39:46.783","2025-07-30 09:42:00.000",2299,3.0,3,0,0
"Q12351 LIMS","2025-09-11 10:39:47.210","2025-07-30 09:43:00.000",2299,3.8999999999999999,3.900,0,0
"Q12351 LIMS","2025-09-11 10:39:47.597","2025-07-30 09:44:00.000",2299,5.0,5,0,0
"Q12351 LIMS","2025-09-11 10:39:47.987","2025-07-30 09:45:00.000",2299,5.4000000000000004,5.400,0,0
"Q12351 LIMS","2025-09-11 10:39:45.840","2025-07-30 09:39:00.000",2300,9.5999999999999996,9.6,0,0
"Q12351 LIMS","2025-09-11 10:39:46.193","2025-07-30 09:40:00.000",2300,9.5999999999999996,9.6,0,0
"Q12351 LIMS","2025-09-11 10:39:46.563","2025-07-30 09:41:00.000",2300,8.8000000000000007,8.8,0,0
"Q12351 LIMS","2025-09-11 10:39:46.937","2025-07-30 09:42:00.000",2300,6.4000000000000004,6.4,0,0
"Q12351 LIMS","2025-09-11 10:39:47.370","2025-07-30 09:43:00.000",2300,5.7000000000000002,5.7,0,0
"Q12351 LIMS","2025-09-11 10:39:47.743","2025-07-30 09:44:00.000",2300,3.5,3.5,0,0
"Q12351 LIMS","2025-09-11 10:39:48.117","2025-07-30 09:45:00.000",2300,2.7000000000000002,2.7,0,0
"Q12351 LIMS","2025-09-11 10:39:45.973","2025-07-30 09:39:00.000",2301,8.3000000000000007,8.3,0,0
"Q12351 LIMS","2025-09-11 10:39:46.340","2025-07-30 09:40:00.000",2301,8.3000000000000007,8.3,0,0
"Q12351 LIMS","2025-09-11 10:39:46.713","2025-07-30 09:41:00.000",2301,8.1999999999999993,8.2,0,0
"Q12351 LIMS","2025-09-11 10:39:47.147","2025-07-30 09:42:00.000",2301,7.9000000000000004,7.9,0,0
"Q12351 LIMS","2025-09-11 10:39:47.523","2025-07-30 09:43:00.000",2301,7.7999999999999998,7.8,0,0
"Q12351 LIMS","2025-09-11 10:39:47.907","2025-07-30 09:44:00.000",2301,7.5,7.5,0,0
