AUDITUSER,AUDITTIMESTAMP,DATESTAMP,CURVALUE,TEXTVALUE,VARID,STATUS,ACTION,OLDVALUE,OLDTEXTVALUE
---------,--------------,---------,--------,---------,-----,------,------,--------,------------
NARANJODL,"2025-08-25 13:47:34.800","2025-08-01 00:00:00.000",1.0,8/1/2025,3870,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.320","2025-08-06 12:32:00.000",0.29999999999999999,0.300,2353,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.363","2025-08-06 12:32:00.000",30.199999999999999,30.2,2357,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.390","2025-08-06 12:32:00.000",267.0,267,2356,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.413","2025-08-06 12:32:00.000",7.2000000000000002,7.2,2354,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.437","2025-08-06 12:32:00.000",8.1999999999999993,8.2,2355,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.470","2025-08-06 12:33:00.000",1.0,1,2353,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.493","2025-08-06 12:33:00.000",30.199999999999999,30.2,2357,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.517","2025-08-06 12:33:00.000",267.0,267,2356,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.543","2025-08-06 12:33:00.000",7.2000000000000002,7.2,2354,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.570","2025-08-06 12:33:00.000",8.1999999999999993,8.2,2355,0,1,NULL,NULL
"Q12351 LIMS","2025-09-11 09:05:10.583","2025-08-06 12:33:00.000",2.0,2,2353,0,2,1.0,1
"Q12351 LIMS","2025-09-11 09:05:10.627","2025-08-06 12:33:00.000",266.0,266,2356,0,2,267.0,267
"Q12351 LIMS","2025-09-11 09:05:10.670","2025-08-06 12:33:00.000",3.0,3,2353,0,2,2.0,2
"Q12351 LIMS","2025-09-11 09:05:10.687","2025-08-06 12:33:00.000",30.0,30,2357,0,2,30.199999999999999,30.2
