AUDITUSER,AUDITTIMESTAMP,DATESTAMP,VARID,CURVALUE,TEXTVALUE,STATUS,FORCED
---------,--------------,---------,-----,--------,---------,------,------
naranjodl,"2025-08-29 11:08:19.943","2025-08-29 06:15:00.000",1193,1.0,3333333333,0,0
NARANJODL,"2025-08-29 10:45:25.833","2025-08-29 07:00:00.000",1193,1.0,777777777,0,0
naranjodl,"2025-08-29 10:44:34.850","2025-08-29 00:00:00.000",1194,555555584.0,555555555,0,0
seymourrd,"2025-09-10 12:09:06.527","2025-09-10 12:00:00.000",1236,0.29999999999999999,0.3,0,0
seymourrd,"2025-09-10 12:08:21.180","2025-09-10 12:00:00.000",1237,1.0,1200,0,0
seymourrd,"2025-09-10 12:08:56.017","2025-09-10 12:00:00.000",1250,29.5,29.5,0,0
seymourrd,"2025-09-10 12:09:16.533","2025-09-10 12:00:00.000",1252,8.9000000000000004,8.9,0,0
seymourrd,"2025-09-10 12:09:43.407","2025-09-10 12:00:00.000",1257,2.3999999999999999,2.4,0,0
seymourrd,"2025-09-10 12:09:31.487","2025-09-10 12:00:00.000",1263,7.9000000000000004,7.9,0,0
seymourrd,"2025-09-10 12:08:59.867","2025-09-10 12:00:00.000",1265,0.17000000000000001,0.17,0,0
seymourrd,"2025-09-10 12:09:23.340","2025-09-10 12:00:00.000",1269,559.0,559,0,0
seymourrd,"2025-09-10 12:09:10.843","2025-09-10 12:00:00.000",1271,25.300000000000001,25.3,0,0
AngelaKilpatrick,"2025-09-02 09:15:41.247","2025-09-02 09:00:00.000",1525,0.0,0,0,0
AngelaKilpatrick,"2025-09-02 09:54:06.003","2025-09-02 09:45:00.000",1526,0.29999999999999999,0.3,0,0
NARANJODL,"2025-08-29 09:17:16.973","2025-08-01 08:15:00.000",1535,1.0,"TEST TEST TEST SYNC",0,0
naranjodl,"2025-08-29 11:13:17.003","2025-08-29 10:45:00.000",1535,1.0,2.3456235235234533E+24,0,0
AngelaKilpatrick,"2025-09-02 09:18:16.977","2025-09-02 09:00:00.000",1547,1.0,10925,0,0
AngelaKilpatrick,"2025-09-02 09:55:51.120","2025-09-02 09:45:00.000",1548,1.0,10925,0,0
AngelaKilpatrick,"2025-09-02 09:56:12.010","2025-09-02 09:45:00.000",1553,25.699999999999999,25.7,0,0
AngelaKilpatrick,"2025-09-02 09:59:22.943","2025-09-02 09:45:00.000",1560,9520.0,9520,0,0
AngelaKilpatrick,"2025-09-02 09:57:27.057","2025-09-02 09:45:00.000",1568,0.02,0.02,0,0
AngelaKilpatrick,"2025-09-02 09:57:48.100","2025-09-02 09:45:00.000",1573,0.29999999999999999,0.3,0,0
seymourrd,"2025-09-16 10:17:19.577","2025-09-16 10:00:00.000",2074,13.0,TR,0,0
seymourrd,"2025-09-16 10:17:16.397","2025-09-16 10:00:00.000",2075,2.0,No,0,0
seymourrd,"2025-09-16 10:15:25.310","2025-09-16 10:00:00.000",2076,1.0,09/16/25,0,0
seymourrd,"2025-09-16 10:16:21.553","2025-09-16 10:00:00.000",2077,0.29999999999999999,0.3,0,0
seymourrd,"2025-09-16 10:15:29.393","2025-09-16 10:00:00.000",2078,1.0,0.3,0,0
seymourrd,"2025-09-16 10:17:19.577","2025-09-16 10:00:00.000",2081,1.0,RT,0,0
seymourrd,"2025-09-16 10:15:45.053","2025-09-16 10:00:00.000",2082,1.0,"sunny clear calm green tint",0,0
seymourrd,"2025-09-16 10:15:34.463","2025-09-16 10:00:00.000",2083,1.0,"Did Not Check",0,0
seymourrd,"2025-09-16 10:17:19.577","2025-09-16 10:00:00.000",2084,1.0,AK,0,0
seymourrd,"2025-09-16 10:15:20.297","2025-09-16 10:00:00.000",2088,1.0,11036,0,0
seymourrd,"2025-09-16 10:15:10.607","2025-09-16 10:00:00.000",2089,1.0,TR,0,0
seymourrd,"2025-09-16 10:15:07.683","2025-09-16 10:00:00.000",2090,1.0,TR0277B,0,0
seymourrd,"2025-09-16 10:15:50.673","2025-09-16 10:00:00.000",2091,28.0,28,0,0
seymourrd,"2025-09-16 10:16:32.310","2025-09-16 10:00:00.000",2093,8.9000000000000004,8.9,0,0
seymourrd,"2025-09-16 10:16:57.820","2025-09-16 10:00:00.000",2097,8.5,8.5,0,0
seymourrd,"2025-09-16 10:17:04.517","2025-09-16 10:00:00.000",2098,98.0,98,0,0
seymourrd,"2025-09-16 10:17:10.510","2025-09-16 10:00:00.000",2099,534.5,534.5,0,0
seymourrd,"2025-09-16 10:15:55.523","2025-09-16 10:00:00.000",2101,0.44,0.44,0,0
seymourrd,"2025-09-16 10:17:17.840","2025-09-16 10:00:00.000",2103,3.0,Unknown,0,0
seymourrd,"2025-09-16 10:16:37.837","2025-09-16 10:00:00.000",2105,396.0,396,0,0
seymourrd,"2025-09-16 10:16:17.037","2025-09-16 10:00:00.000",2106,9.5,9.5,0,0
seymourrd,"2025-09-16 10:16:27.403","2025-09-16 10:00:00.000",2107,27.699999999999999,27.7,0,0
seymourrd,"2025-09-16 09:52:34.187","2025-09-16 09:45:00.000",2373,13.0,TR,0,0
seymourrd,"2025-09-16 09:52:32.190","2025-09-16 09:45:00.000",2374,2.0,No,0,0
seymourrd,"2025-09-16 09:51:16.050","2025-09-16 09:45:00.000",2375,1.0,09/16/25,0,0
seymourrd,"2025-09-16 09:52:00.373","2025-09-16 09:45:00.000",2376,0.29999999999999999,0.3,0,0
seymourrd,"2025-09-16 09:51:20.903","2025-09-16 09:45:00.000",2377,1.0,940,0,0
seymourrd,"2025-09-16 09:52:34.187","2025-09-16 09:45:00.000",2380,1.0,RT,0,0
seymourrd,"2025-09-16 09:51:41.593","2025-09-16 09:45:00.000",2381,1.0,"sunny clear calm kayak fisherman",0,0
seymourrd,"2025-09-16 09:51:27.293","2025-09-16 09:45:00.000",2382,1.0,"Did Not Check",0,0
seymourrd,"2025-09-16 09:52:34.183","2025-09-16 09:45:00.000",2383,1.0,AK,0,0
seymourrd,"2025-09-16 09:51:10.007","2025-09-16 09:45:00.000",2387,1.0,16114,0,0
seymourrd,"2025-09-16 09:50:55.653","2025-09-16 09:45:00.000",2388,1.0,TR,0,0
seymourrd,"2025-09-16 09:50:53.123","2025-09-16 09:45:00.000",2389,1.0,TR0276B,0,0
seymourrd,"2025-09-16 09:51:48.003","2025-09-16 09:45:00.000",2390,27.0,27,0,0
seymourrd,"2025-09-16 09:52:13.657","2025-09-16 09:45:00.000",2392,9.1999999999999993,9.2,0,0
seymourrd,"2025-09-16 09:52:23.980","2025-09-16 09:45:00.000",2396,9.1999999999999993,9.2,0,0
seymourrd,"2025-09-16 09:52:26.980","2025-09-16 09:45:00.000",2397,98.0,98,0,0
seymourrd,"2025-09-16 09:52:31.683","2025-09-16 09:45:00.000",2398,534.5,534.5,0,0
seymourrd,"2025-09-16 09:51:51.653","2025-09-16 09:45:00.000",2400,0.47999999999999998,0.48,0,0
seymourrd,"2025-09-16 09:52:33.443","2025-09-16 09:45:00.000",2402,3.0,Unknown,0,0
seymourrd,"2025-09-16 09:52:18.417","2025-09-16 09:45:00.000",2404,387.0,387,0,0
seymourrd,"2025-09-16 09:51:57.243","2025-09-16 09:45:00.000",2405,12.199999999999999,12.2,0,0
seymourrd,"2025-09-16 09:52:09.117","2025-09-16 09:45:00.000",2406,27.699999999999999,27.7,0,0
seymourrd,"2025-09-16 10:37:44.247","2025-09-16 10:15:00.000",2427,1.0,Other,0,0
seymourrd,"2025-09-16 10:33:50.020","2025-09-16 10:15:00.000",2428,2.0,No,0,0
seymourrd,"2025-09-16 10:32:30.073","2025-09-16 10:15:00.000",2429,1.0,09/16/2025,0,0
seymourrd,"2025-09-16 10:33:11.467","2025-09-16 10:15:00.000",2430,0.29999999999999999,0.3,0,0
seymourrd,"2025-09-16 10:32:37.033","2025-09-16 10:15:00.000",2431,1.0,1030,0,0
seymourrd,"2025-09-16 10:37:44.250","2025-09-16 10:15:00.000",2434,1.0,RT,0,0
seymourrd,"2025-09-16 10:32:53.160","2025-09-16 10:15:00.000",2435,1.0,"sunny clear calm fisherman",0,0
seymourrd,"2025-09-16 10:32:43.330","2025-09-16 10:15:00.000",2436,1.0,"Did Not Check",0,0
