AUDITUSER,AUDITTIMESTAMP,DATESTAMP,CURVALUE,TEXTVALUE,VARID,STATUS,ACTION,OLDVALUE,OLDTEXTVALUE
---------,--------------,---------,--------,---------,-----,------,------,--------,------------
NARANJODL,"2025-08-29 09:17:16.973","2025-08-01 08:15:00.000",1.0,"TEST TEST TEST SYNC",1535,0,1,NULL,NULL
NARANJODL,"2025-08-29 10:45:25.833","2025-08-29 07:00:00.000",1.0,777777777,1193,0,1,NULL,NULL
naranjodl,"2025-08-29 10:44:34.850","2025-08-29 00:00:00.000",555555584.0,555555555,1194,0,1,NULL,NULL
naranjodl,"2025-08-29 11:08:19.943","2025-08-29 06:15:00.000",1.0,3333333333,1193,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:15:41.247","2025-09-02 09:00:00.000",0.0,0,1525,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:18:16.977","2025-09-02 09:00:00.000",1.0,10925,1547,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:54:06.003","2025-09-02 09:45:00.000",0.29999999999999999,0.3,1526,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:55:51.120","2025-09-02 09:45:00.000",1.0,10925,1548,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:56:12.010","2025-09-02 09:45:00.000",25.699999999999999,25.7,1553,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:59:22.943","2025-09-02 09:45:00.000",9520.0,9520,1560,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:57:27.057","2025-09-02 09:45:00.000",0.02,0.02,1568,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 09:57:48.100","2025-09-02 09:45:00.000",0.29999999999999999,0.3,1573,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 11:45:39.040","2025-09-02 11:30:00.000",0.29999999999999999,0.3,2783,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 11:44:07.873","2025-09-02 11:30:00.000",1.0,21287,2794,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 11:44:41.800","2025-09-02 11:30:00.000",28.899999999999999,28.9,2797,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 11:44:54.003","2025-09-02 11:30:00.000",0.59999999999999998,0.6,2804,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 11:45:13.100","2025-09-02 11:30:00.000",0.11,0.11,2812,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-02 11:45:31.297","2025-09-02 11:30:00.000",1.1000000000000001,1.1,2817,0,1,NULL,NULL
seymourrd,"2025-09-10 08:45:41.937","2025-09-10 08:30:00.000",1.0,840,2539,0,1,NULL,NULL
seymourrd,"2025-09-10 08:46:26.353","2025-09-10 08:30:00.000",21.5,21.5,2552,0,1,NULL,NULL
seymourrd,"2025-09-10 08:46:31.013","2025-09-10 08:30:00.000",0.37,0.37,2567,0,1,NULL,NULL
seymourrd,"2025-09-10 08:47:02.540","2025-09-10 08:30:00.000",0.29999999999999999,0.3,2538,0,1,NULL,NULL
seymourrd,"2025-09-10 08:47:07.197","2025-09-10 08:30:00.000",23.800000000000001,23.8,2573,0,1,NULL,NULL
seymourrd,"2025-09-10 08:47:12.380","2025-09-10 08:30:00.000",7.4000000000000004,7.4,2554,0,1,NULL,NULL
seymourrd,"2025-09-10 08:47:20.390","2025-09-10 08:30:00.000",804.0,804,2571,0,1,NULL,NULL
seymourrd,"2025-09-10 08:47:27.300","2025-09-10 08:30:00.000",7.5,7.5,2565,0,1,NULL,NULL
seymourrd,"2025-09-10 09:59:21.627","2025-09-10 09:45:00.000",1.0,945,2649,0,1,NULL,NULL
seymourrd,"2025-09-10 10:00:04.830","2025-09-10 09:45:00.000",22.300000000000001,22.3,2674,0,1,NULL,NULL
seymourrd,"2025-09-10 10:00:11.063","2025-09-10 09:45:00.000",0.46000000000000002,0.46,2689,0,1,NULL,NULL
seymourrd,"2025-09-10 10:00:45.807","2025-09-10 09:45:00.000",0.20000000000000001,0.2,2694,0,1,NULL,NULL
seymourrd,"2025-09-10 10:00:53.750","2025-09-10 09:45:00.000",7.0000000000000007E-2,0.07,2647,0,1,NULL,NULL
seymourrd,"2025-09-10 10:00:59.837","2025-09-10 09:45:00.000",21.699999999999999,21.7,2695,0,1,NULL,NULL
seymourrd,"2025-09-10 10:01:03.030","2025-09-10 09:45:00.000",8.1999999999999993,8.2,2676,0,1,NULL,NULL
seymourrd,"2025-09-10 10:01:07.510","2025-09-10 09:45:00.000",462.0,462,2693,0,1,NULL,NULL
seymourrd,"2025-09-10 10:02:01.967","2025-09-10 09:45:00.000",8.0,8,2687,0,1,NULL,NULL
seymourrd,"2025-09-10 10:02:07.040","2025-09-10 09:45:00.000",9.9000000000000004,9.9,2681,0,1,NULL,NULL
seymourrd,"2025-09-10 11:11:44.257","2025-09-10 11:00:00.000",1.0,1100,2584,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:18.380","2025-09-10 11:00:00.000",27.5,27.5,2597,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:24.033","2025-09-10 11:00:00.000",0.27000000000000002,0.27,2612,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:29.377","2025-09-10 11:00:00.000",0.29999999999999999,0.3,2583,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:34.023","2025-09-10 11:00:00.000",25.800000000000001,25.8,2618,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:38.393","2025-09-10 11:00:00.000",5.9000000000000004,5.9,2599,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:42.753","2025-09-10 11:00:00.000",350.0,350,2616,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:49.100","2025-09-10 11:00:00.000",7.5999999999999996,7.6,2610,0,1,NULL,NULL
seymourrd,"2025-09-10 11:12:52.700","2025-09-10 11:00:00.000",174.80000000000001,174.8,2604,0,1,NULL,NULL
seymourrd,"2025-09-10 12:08:21.180","2025-09-10 12:00:00.000",1.0,1200,1237,0,1,NULL,NULL
seymourrd,"2025-09-10 12:08:56.017","2025-09-10 12:00:00.000",29.5,29.5,1250,0,1,NULL,NULL
seymourrd,"2025-09-10 12:08:59.867","2025-09-10 12:00:00.000",0.17000000000000001,0.17,1265,0,1,NULL,NULL
seymourrd,"2025-09-10 12:09:06.527","2025-09-10 12:00:00.000",0.29999999999999999,0.3,1236,0,1,NULL,NULL
seymourrd,"2025-09-10 12:09:10.843","2025-09-10 12:00:00.000",25.300000000000001,25.3,1271,0,1,NULL,NULL
seymourrd,"2025-09-10 12:09:16.533","2025-09-10 12:00:00.000",8.9000000000000004,8.9,1252,0,1,NULL,NULL
seymourrd,"2025-09-10 12:09:23.340","2025-09-10 12:00:00.000",559.0,559,1269,0,1,NULL,NULL
seymourrd,"2025-09-10 12:09:31.487","2025-09-10 12:00:00.000",7.9000000000000004,7.9,1263,0,1,NULL,NULL
seymourrd,"2025-09-10 12:09:43.407","2025-09-10 12:00:00.000",2.3999999999999999,2.4,1257,0,1,NULL,NULL
naranjodl,"2025-09-11 07:47:50.283","2025-09-11 07:45:00.000",99999.0,99999,2552,0,1,NULL,NULL
naranjodl,"2025-09-11 07:47:55.417","2025-09-11 07:45:00.000",9999999.0,9999999,2553,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:17.297","2025-09-11 07:45:00.000",99.0,99,2538,0,1,NULL,NULL
naranjodl,"2025-09-11 07:49:29.703","2025-09-11 07:45:00.000",9999.0,9999,2555,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:52.927","2025-09-11 07:45:00.000",9999999.0,9999999,2556,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:41.100","2025-09-11 07:45:00.000",99999.0,99999,2559,0,1,NULL,NULL
naranjodl,"2025-09-11 07:49:03.840","2025-09-11 07:45:00.000",99999.0,99999,2560,0,1,NULL,NULL
naranjodl,"2025-09-11 07:49:17.110","2025-09-11 07:45:00.000",99999.0,99999,2561,0,1,NULL,NULL
naranjodl,"2025-09-11 07:49:53.707","2025-09-11 07:45:00.000",9999.0,9999,2547,0,1,NULL,NULL
naranjodl,"2025-09-11 07:49:01.827","2025-09-11 07:45:00.000",99999.0,99999,2562,0,1,NULL,NULL
naranjodl,"2025-09-11 07:49:20.837","2025-09-11 07:45:00.000",99999.0,99999,2566,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:10.440","2025-09-11 07:45:00.000",99.0,99,2567,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:14.287","2025-09-11 07:45:00.000",99.0,99,2572,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:07.617","2025-09-11 07:45:00.000",25.399999999999999,25.4,2674,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:10.113","2025-09-11 07:45:00.000",8.0,8,2675,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:18.413","2025-09-11 07:45:00.000",0.29999999999999999,0.3,2647,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:47:41.050","2025-09-11 07:45:00.000",1.0,915,2649,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:36.597","2025-09-11 07:45:00.000",125.0,125,2681,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:13.430","2025-09-11 07:45:00.000",5.0000000000000003E-2,0.05,2689,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:47:29.557","2025-09-11 07:45:00.000",1.0,20289,2669,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:15.530","2025-09-11 07:45:00.000",1.0,1,2694,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:36.927","2025-09-11 07:45:00.000",9.0,9,2568,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:31.317","2025-09-11 07:45:00.000",9.0,9,2570,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:24.857","2025-09-11 07:45:00.000",9.0,9,2554,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:29.833","2025-09-11 07:45:00.000",9.0,9,2565,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:27.667","2025-09-11 07:45:00.000",9.0,9,2571,0,1,NULL,NULL
naranjodl,"2025-09-11 07:48:21.393","2025-09-11 07:45:00.000",9999999.0,9999999,2573,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:25.307","2025-09-11 07:45:00.000",8.1999999999999993,8.2,2676,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:34.607","2025-09-11 07:45:00.000",7.7999999999999998,7.8,2687,0,1,NULL,NULL
naranjodl,"2025-08-29 11:13:17.003","2025-08-29 10:45:00.000",1.0,2.3456235235234533E+24,1535,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:28.630","2025-09-11 07:45:00.000",452.0,452,2693,0,1,NULL,NULL
AngelaKilpatrick,"2025-09-11 07:48:22.370","2025-09-11 07:45:00.000",25.0,25,2695,0,1,NULL,NULL
naranjodl,"2025-09-11 07:55:03.943","2025-09-11 07:45:00.000",1.0,"",2549,0,2,1.0,1
naranjodl,"2025-09-11 07:55:01.950","2025-09-11 07:45:00.000",1.0,1,2549,0,2,1.0,17845
naranjodl,"2025-09-11 07:53:26.800","2025-09-11 07:45:00.000",1.0,17845,2549,0,1,NULL,NULL
NARANJODL,"2025-09-11 07:57:02.570","2025-09-11 07:45:00.000",0.0,0.000,2538,0,2,99.0,99
NARANJODL,"2025-09-11 07:57:05.670","2025-09-11 07:45:00.000",0.0,0.000,2538,0,3,0.0,0.000
NARANJODL,"2025-09-11 07:57:26.133","2025-09-11 07:45:00.000",9999.0,9999,2547,0,3,9999.0,9999
NARANJODL,"2025-09-11 07:57:36.970","2025-09-11 07:45:00.000",99999.0,99999,2552,0,3,99999.0,99999
NARANJODL,"2025-09-11 07:57:42.810","2025-09-11 07:45:00.000",9999999.0,9999999,2553,0,3,9999999.0,9999999
NARANJODL,"2025-09-11 07:57:49.843","2025-09-11 07:45:00.000",9999.0,9999,2555,0,3,9999.0,9999
NARANJODL,"2025-09-11 07:57:55.550","2025-09-11 07:45:00.000",9999999.0,9999999,2556,0,3,9999999.0,9999999
NARANJODL,"2025-09-11 07:58:01.930","2025-09-11 07:45:00.000",99999.0,99999,2559,0,3,99999.0,99999
NARANJODL,"2025-09-11 07:58:06.410","2025-09-11 07:45:00.000",99999.0,99999,2560,0,3,99999.0,99999
NARANJODL,"2025-09-11 07:58:11.193","2025-09-11 07:45:00.000",99999.0,99999,2561,0,3,99999.0,99999
NARANJODL,"2025-09-11 07:58:15.503","2025-09-11 07:45:00.000",99999.0,99999,2562,0,3,99999.0,99999
NARANJODL,"2025-09-11 07:58:21.403","2025-09-11 07:45:00.000",99999.0,99999,2566,0,3,99999.0,99999
NARANJODL,"2025-09-11 07:58:27.743","2025-09-11 07:45:00.000",99.0,99,2567,0,3,99.0,99
NARANJODL,"2025-09-11 07:58:32.430","2025-09-11 07:45:00.000",99.0,99,2572,0,3,99.0,99
NARANJODL,"2025-09-11 08:00:22.767","2025-09-11 07:45:00.000",0.29999999999999999,0.3,2647,0,3,0.29999999999999999,0.3
NARANJODL,"2025-09-11 08:00:30.127","2025-09-11 07:45:00.000",1.0,915,2649,0,3,1.0,915
NARANJODL,"2025-09-11 08:00:39.973","2025-09-11 07:45:00.000",1.0,20289,2669,0,3,1.0,20289
NARANJODL,"2025-09-11 08:00:48.327","2025-09-11 07:45:00.000",25.399999999999999,25.4,2674,0,3,25.399999999999999,25.4
NARANJODL,"2025-09-11 08:00:53.270","2025-09-11 07:45:00.000",8.0,8,2675,0,3,8.0,8
NARANJODL,"2025-09-11 08:01:00.107","2025-09-11 07:45:00.000",125.0,125,2681,0,3,125.0,125
NARANJODL,"2025-09-11 08:01:04.537","2025-09-11 07:45:00.000",5.0000000000000003E-2,0.05,2689,0,3,5.0000000000000003E-2,0.05
NARANJODL,"2025-09-11 08:01:09.260","2025-09-11 07:45:00.000",1.0,1,2694,0,3,1.0,1
seymourrd,"2025-09-16 09:20:06.053","2025-09-16 09:15:00.000",1.0,TR0279B,2941,0,1,NULL,NULL
seymourrd,"2025-09-16 09:22:34.993","2025-09-16 09:15:00.000",1.0,AK,2935,0,1,NULL,NULL
seymourrd,"2025-09-16 09:20:09.160","2025-09-16 09:15:00.000",1.0,TR,2940,0,1,NULL,NULL
seymourrd,"2025-09-16 09:22:34.993","2025-09-16 09:15:00.000",13.0,TR,2925,0,1,NULL,NULL
seymourrd,"2025-09-16 09:22:34.993","2025-09-16 09:15:00.000",1.0,RT,2932,0,1,NULL,NULL
seymourrd,"2025-09-16 09:20:22.693","2025-09-16 09:15:00.000",1.0,21351,2939,0,1,NULL,NULL
seymourrd,"2025-09-16 09:20:32.667","2025-09-16 09:15:00.000",1.0,09/16/25,2927,0,1,NULL,NULL
seymourrd,"2025-09-16 09:20:37.470","2025-09-16 09:15:00.000",1.0,915,2929,0,1,NULL,NULL
seymourrd,"2025-09-16 09:20:44.300","2025-09-16 09:15:00.000",1.0,"Did Not Check",2934,0,1,NULL,NULL
seymourrd,"2025-09-16 09:21:08.263","2025-09-16 09:15:00.000",1.0,"sunny cleae calm lots of fisherman wading birds",2933,0,1,NULL,NULL
seymourrd,"2025-09-16 09:21:12.693","2025-09-16 09:15:00.000",25.0,25,2942,0,1,NULL,NULL
seymourrd,"2025-09-16 09:22:29.677","2025-09-16 09:15:00.000",0.38,0.38,2952,0,1,NULL,NULL
seymourrd,"2025-09-16 09:21:23.593","2025-09-16 09:15:00.000",5.0999999999999996,5.1,2957,0,1,NULL,NULL
seymourrd,"2025-09-16 09:21:28.797","2025-09-16 09:15:00.000",0.29999999999999999,0.3,2928,0,1,NULL,NULL
