AUDITUSER,AUDITTIMESTAMP,DATESTAMP,VARID,COMMENT
---------,--------------,---------,-----,-------
AngelaKilpatrick,"2025-09-02 09:20:03.983","2025-09-02 09:00:00.000",1537,MC
AngelaKilpatrick,"2025-09-02 10:00:45.983","2025-09-02 09:45:00.000",1538,MC
AngelaKilpatrick,"2025-09-02 11:46:09.477","2025-09-02 11:30:00.000",2789,MC
seymourrd,"2025-09-10 08:48:07.630","2025-09-10 08:30:00.000",2544,MC
seymourrd,"2025-09-10 10:02:40.197","2025-09-10 09:45:00.000",2659,mc
seymourrd,"2025-09-10 11:13:02.290","2025-09-10 11:00:00.000",2589,mc
seymourrd,"2025-09-10 12:10:12.080","2025-09-10 12:00:00.000",1242,mc
seymourrd,"2025-09-16 09:22:34.993","2025-09-16 09:15:00.000",2934,"LT AG"
seymourrd,"2025-09-16 09:52:34.187","2025-09-16 09:45:00.000",2382,"LT AG"
seymourrd,"2025-09-16 10:17:19.577","2025-09-16 10:00:00.000",2083,"LT AG"
seymourrd,"2025-09-16 10:37:44.250","2025-09-16 10:15:00.000",2436,"LT AG"
seymourrd,"2025-09-17 09:01:17.627","2025-09-17 08:45:00.000",4169,MC
seymourrd,"2025-09-17 09:19:08.437","2025-09-17 09:15:00.000",4221,RS
seymourrd,"2025-09-17 10:02:12.907","2025-09-17 09:45:00.000",2735,MC
seymourrd,"2025-09-17 09:36:20.527","2025-09-17 09:30:00.000",3140,MC
