AUDITUSER,AUDITTIMESTAMP,DATESTAMP,VARID,ACTION,CURVALUE,OLDVALUE
---------,--------------,---------,-----,------,--------,--------
AngelaKilpatrick,"2025-09-02 09:20:03.983","2025-09-02 09:00:00.000",1537,1,MC,NULL
AngelaKilpatrick,"2025-09-02 10:00:45.983","2025-09-02 09:45:00.000",1538,1,MC,NULL
AngelaKilpatrick,"2025-09-02 11:46:09.477","2025-09-02 11:30:00.000",2789,1,MC,NULL
seymourrd,"2025-09-10 08:48:07.630","2025-09-10 08:30:00.000",2544,1,MC,NULL
seymourrd,"2025-09-10 10:02:40.197","2025-09-10 09:45:00.000",2659,1,mc,NULL
seymourrd,"2025-09-10 11:13:02.290","2025-09-10 11:00:00.000",2589,1,mc,NULL
seymourrd,"2025-09-10 12:10:12.080","2025-09-10 12:00:00.000",1242,1,mc,NULL
seymourrd,"2025-09-16 09:22:34.993","2025-09-16 09:15:00.000",2934,1,"LT AG",NULL
seymourrd,"2025-09-16 09:52:34.187","2025-09-16 09:45:00.000",2382,1,"LT AG",NULL
seymourrd,"2025-09-16 10:17:19.577","2025-09-16 10:00:00.000",2083,1,"LT AG",NULL
seymourrd,"2025-09-16 10:37:44.250","2025-09-16 10:15:00.000",2436,1,"LT AG",NULL
seymourrd,"2025-09-17 09:01:17.627","2025-09-17 08:45:00.000",4169,1,MC,NULL
seymourrd,"2025-09-17 09:19:08.437","2025-09-17 09:15:00.000",4221,1,RS,NULL
seymourrd,"2025-09-17 10:02:12.907","2025-09-17 09:45:00.000",2735,1,MC,NULL
seymourrd,"2025-09-17 09:36:20.527","2025-09-17 09:30:00.000",3140,1,MC,NULL
