AUDITUSER,AUDITTIMESTAMP,EGROUPID,USERID,ACCESSLEVEL
---------,--------------,--------,------,-----------
OPSSYS_BD,"2024-02-19 14:00:00.293",1,262,2
OPSSYS_BD,"2024-02-19 14:00:00.297",2,262,2
OPSSYS_BD,"2024-02-19 14:00:00.297",3,262,2
OPSSYS_BD,"2024-02-19 14:00:00.300",1,3,2
OPSSYS_BD,"2024-02-19 14:00:00.303",2,3,2
OPSSYS_BD,"2024-02-19 14:00:00.303",3,3,2
OPSSYS_BD,"2024-02-19 14:00:00.307",1,265,2
OPSSYS_BD,"2024-02-19 14:00:00.310",2,265,2
OPSSYS_BD,"2024-02-19 14:00:00.310",3,265,2
OPSSYS_BD,"2024-02-19 14:00:00.310",1,6,2
OPSSYS_BD,"2024-02-19 14:00:00.313",2,6,2
OPSSYS_BD,"2024-02-19 14:00:00.317",3,6,2
OPSSYS_BD,"2024-02-19 14:00:00.320",1,8,2
OPSSYS_BD,"2024-02-19 14:00:00.320",2,8,2
OPSSYS_BD,"2024-02-19 14:00:00.323",3,8,2
OPSSYS_BD,"2024-02-19 14:00:00.327",1,268,2
OPSSYS_BD,"2024-02-19 14:00:00.330",2,268,2
OPSSYS_BD,"2024-02-19 14:00:00.330",3,268,2
OPSSYS_BD,"2024-02-19 14:00:00.330",1,269,2
OPSSYS_BD,"2024-02-19 14:00:00.337",2,269,2
OPSSYS_BD,"2024-02-19 14:00:00.337",3,269,2
OPSSYS_BD,"2024-02-19 14:00:00.340",1,271,2
OPSSYS_BD,"2024-02-19 14:00:00.340",2,271,2
OPSSYS_BD,"2024-02-19 14:00:00.343",3,271,2
OPSSYS_BD,"2024-02-19 14:00:00.343",1,56,2
OPSSYS_BD,"2024-02-19 14:00:00.343",2,56,2
OPSSYS_BD,"2024-02-19 14:00:00.347",3,56,2
OPSSYS_BD,"2024-02-19 14:00:00.350",1,272,2
OPSSYS_BD,"2024-02-19 14:00:00.350",2,272,2
OPSSYS_BD,"2024-02-19 14:00:00.350",3,272,2
OPSSYS_BD,"2024-02-19 14:00:00.353",1,16,2
OPSSYS_BD,"2024-02-19 14:00:00.353",2,16,2
OPSSYS_BD,"2024-02-19 14:00:00.357",3,16,2
OPSSYS_BD,"2024-02-19 14:00:00.357",1,273,2
OPSSYS_BD,"2024-02-19 14:00:00.360",2,273,2
OPSSYS_BD,"2024-02-19 14:00:00.360",3,273,2
OPSSYS_BD,"2024-02-19 14:00:00.360",1,275,2
OPSSYS_BD,"2024-02-19 14:00:00.363",2,275,2
OPSSYS_BD,"2024-02-19 14:00:00.363",3,275,2
OPSSYS_BD,"2024-02-19 14:00:00.367",1,278,2
OPSSYS_BD,"2024-02-19 14:00:00.367",2,278,2
OPSSYS_BD,"2024-02-19 14:00:00.367",3,278,2
OPSSYS_BD,"2024-02-19 14:00:00.370",1,57,2
OPSSYS_BD,"2024-02-19 14:00:00.370",2,57,2
OPSSYS_BD,"2024-02-19 14:00:00.370",3,57,2
OPSSYS_BD,"2024-02-19 14:00:00.373",1,280,2
OPSSYS_BD,"2024-02-19 14:00:00.373",2,280,2
OPSSYS_BD,"2024-02-19 14:00:00.377",3,280,2
OPSSYS_BD,"2024-02-19 14:00:00.377",1,24,2
OPSSYS_BD,"2024-02-19 14:00:00.380",2,24,2
OPSSYS_BD,"2024-02-19 14:00:00.380",3,24,2
OPSSYS_BD,"2024-02-19 14:00:00.380",1,281,2
OPSSYS_BD,"2024-02-19 14:00:00.380",2,281,2
OPSSYS_BD,"2024-02-19 14:00:00.383",3,281,2
OPSSYS_BD,"2024-02-19 14:00:00.383",1,284,2
OPSSYS_BD,"2024-02-19 14:00:00.387",2,284,2
OPSSYS_BD,"2024-02-19 14:00:00.387",3,284,2
OPSSYS_BD,"2024-02-19 14:00:00.390",1,287,2
OPSSYS_BD,"2024-02-19 14:00:00.390",2,287,2
OPSSYS_BD,"2024-02-19 14:00:00.390",3,287,2
OPSSYS_BD,"2024-02-19 14:00:00.393",1,28,2
OPSSYS_BD,"2024-02-19 14:00:00.393",2,28,2
OPSSYS_BD,"2024-02-19 14:00:00.397",3,28,2
OPSSYS_BD,"2024-02-19 14:00:00.397",1,29,2
OPSSYS_BD,"2024-02-19 14:00:00.397",2,29,2
OPSSYS_BD,"2024-02-19 14:00:00.400",3,29,2
OPSSYS_BD,"2024-02-19 14:00:00.400",1,65,2
OPSSYS_BD,"2024-02-19 14:00:00.400",2,65,2
OPSSYS_BD,"2024-02-19 14:00:00.403",3,65,2
OPSSYS_BD,"2024-02-19 14:00:00.403",1,32,2
OPSSYS_BD,"2024-02-19 14:00:00.407",2,32,2
OPSSYS_BD,"2024-02-19 14:00:00.407",3,32,2
OPSSYS_BD,"2024-02-19 14:00:00.410",1,297,2
OPSSYS_BD,"2024-02-19 14:00:00.410",2,297,2
OPSSYS_BD,"2024-02-19 14:00:00.410",3,297,2
OPSSYS_BD,"2024-02-19 14:00:00.413",1,302,2
OPSSYS_BD,"2024-02-19 14:00:00.413",2,302,2
OPSSYS_BD,"2024-02-19 14:00:00.417",3,302,2
OPSSYS_BD,"2024-02-19 14:00:00.417",1,35,2
OPSSYS_BD,"2024-02-19 14:00:00.420",2,35,2
OPSSYS_BD,"2024-02-19 14:00:00.420",3,35,2
OPSSYS_BD,"2024-02-19 14:00:00.420",1,309,2
OPSSYS_BD,"2024-02-19 14:00:00.423",2,309,2
OPSSYS_BD,"2024-02-19 14:00:00.423",3,309,2
OPSSYS_BD,"2024-02-19 14:00:00.423",1,40,2
OPSSYS_BD,"2024-02-19 14:00:00.427",2,40,2
OPSSYS_BD,"2024-02-19 14:00:00.427",3,40,2
OPSSYS_BD,"2024-02-19 14:00:00.430",1,42,2
OPSSYS_BD,"2024-02-19 14:00:00.430",2,42,2
OPSSYS_BD,"2024-02-19 14:00:00.430",3,42,2
OPSSYS_BD,"2024-02-19 14:00:00.430",1,48,2
OPSSYS_BD,"2024-02-19 14:00:00.433",2,48,2
OPSSYS_BD,"2024-02-19 14:00:00.433",3,48,2
OPSSYS_BD,"2024-02-19 14:00:00.437",1,49,2
OPSSYS_BD,"2024-02-19 14:00:00.437",2,49,2
OPSSYS_BD,"2024-02-19 14:00:00.437",3,49,2
OPSSYS_BD,"2024-02-19 14:00:00.440",1,50,2
OPSSYS_BD,"2024-02-19 14:00:00.440",2,50,2
OPSSYS_BD,"2024-02-19 14:00:00.440",3,50,2
OPSSYS_BD,"2024-02-19 14:00:00.440",1,59,2
OPSSYS_BD,"2024-02-19 14:00:00.443",2,59,2
OPSSYS_BD,"2024-02-19 14:00:00.443",3,59,2
OPSSYS_BD,"2024-02-19 14:00:00.447",1,60,2
OPSSYS_BD,"2024-02-19 14:00:00.447",2,60,2
