AUDITUSER,AUDITTIMESTAMP,ID,LOCID,EVENTTYPE_ID,DATESTAMP,DATEDUE,DATECOMPLETE,NOTES,ENDDATE,DURATION,FLOW,UD1NUM,UD1TEXT,UD1DATETIME,UD2NUM,UD2TEXT,UD2DATETIME,LOCATION_DOC_ID,EVENT_STATUS,VARID,STATUS,COMMENTS
---------,--------------,--,-----,------------,---------,-------,------------,-----,-------,--------,----,------,-------,-----------,------,-------,-----------,---------------,------------,-----,------,--------
VIA_COMPENG,"2025-09-04 12:07:17.000",1,18,1,"2024-01-01 00:00:00.000",NULL,NULL,"LRWSS Contract NY CONST violated the AMIN Limit: 1230858>=3363","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,39,1,NULL
VIA_COMPENG,"2025-09-04 12:07:19.000",2,19,1,"2024-01-01 00:00:00.000",NULL,NULL,"LLWSSSC Contract NY CONST violated the AMIN Limit: 326838>=893","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,42,1,NULL
VIA_COMPENG,"2025-09-04 12:07:20.000",3,20,1,"2024-01-01 00:00:00.000",NULL,NULL,"TRWSC Contract NY CONST violated the AMIN Limit: 270840>=740","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,45,1,NULL
VIA_COMPENG,"2025-09-04 12:07:22.000",4,21,1,"2024-01-01 00:00:00.000",NULL,NULL,"WaterWD National Resort Contract NY CONST violated the AMIN Limit: 9150>=25","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,48,1,NULL
VIA_COMPENG,"2025-09-04 12:07:23.000",5,22,1,"2024-01-01 00:00:00.000",NULL,NULL,"Whisp.Pines Glf Club Contract NY CONST violated the AMIN Limit: 183000>=500","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,51,1,NULL
VIA_COMPENG,"2025-09-04 12:07:25.000",6,23,1,"2024-01-01 00:00:00.000",NULL,NULL,"Mem.Pt.Twnhse Contract NY CONST violated the AMIN Limit: 3660>=10","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,54,1,NULL
VIA_COMPENG,"2025-09-04 12:07:26.000",7,24,1,"2024-01-01 00:00:00.000",NULL,NULL,"John Dalton Contract NY CONST violated the AMIN Limit: 3660>=10","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,57,1,NULL
VIA_COMPENG,"2025-09-04 12:07:28.000",8,27,1,"2024-01-01 00:00:00.000",NULL,NULL,"HRWSS Contract NY CONST violated the AMIN Limit: 4102860>=11210","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,66,1,NULL
VIA_COMPENG,"2025-09-04 12:07:29.000",9,30,1,"2024-01-01 00:00:00.000",NULL,NULL,"TXI(Arcosa) Contract NY CONST violated the AMIN Limit: 164700>=450","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,80,1,NULL
VIA_COMPENG,"2025-09-04 12:07:30.000",10,37,1,"2024-01-01 00:00:00.000",NULL,NULL,"Westwood Shores POA Contract NY CONST violated the AMIN Limit: 3660>=10","2024-12-31 00:00:00.000",NULL,NULL,NULL,AMIN,NULL,NULL,Null,NULL,NULL,NORMAL,90,1,NULL
