AUDITUSER,AUDITTIMESTAMP,ID,VARID,RECORDER
---------,--------------,--,-----,--------
NARANJODL,"2024-04-05 08:06:55.000",1,1,1
NARANJODL,"2024-04-05 08:06:55.000",1,2,2
NARANJODL,"2024-04-05 08:06:55.000",1,3,3
NARANJODL,"2024-04-05 08:06:55.000",1,4,4
NARANJODL,"2024-04-05 08:06:55.000",1,5,5
NARANJODL,"2024-04-05 08:06:55.000",1,6,6
NARANJODL,"2024-04-05 08:06:55.000",1,7,7
NARANJODL,"2024-04-05 08:06:55.000",1,8,8
NARANJODL,"2024-04-05 08:06:55.000",1,9,9
NARANJODL,"2024-04-05 08:06:55.000",1,10,10
NARANJODL,"2024-04-05 08:06:55.000",1,11,11
NARANJODL,"2024-04-05 08:06:55.000",1,12,12
NARANJODL,"2024-04-05 08:06:55.000",1,13,13
NARANJODL,"2024-04-05 08:06:55.000",1,14,14
RUSTAF,"2024-09-23 09:15:19.000",2,1,1
RUSTAF,"2024-09-23 09:15:19.000",2,2,2
RUSTAF,"2024-09-23 09:15:19.000",2,3,3
RUSTAF,"2024-09-23 09:15:19.000",2,8,4
RUSTAF,"2024-09-23 09:15:19.000",2,11,5
RUSTAF,"2024-09-23 09:15:19.000",2,13,6
RUSTAF,"2025-02-13 09:43:48.000",3,1,1
RUSTAF,"2025-02-13 09:43:48.000",3,8,2
RUSTAF,"2025-02-13 09:43:48.000",3,11,3
RUSTAF,"2025-02-13 09:43:48.000",3,13,4
