AUDITUSER,AUDITTIMESTAMP,ID,VARID,VARORDER,COLWIDTHTIME,COLWIDTHVALUE
---------,--------------,--,-----,--------,------------,-------------
NULL,NULL,3,1520,1,NULL,NULL
NULL,NULL,3,1522,2,NULL,NULL
NULL,NULL,3,1524,3,NULL,NULL
NULL,NULL,3,1526,4,NULL,NULL
NULL,NULL,3,1528,5,NULL,NULL
NULL,NULL,3,1530,6,NULL,NULL
NULL,NULL,3,1532,7,NULL,NULL
NULL,NULL,3,1534,8,NULL,NULL
NULL,NULL,3,1536,9,NULL,NULL
NULL,NULL,3,1538,10,NULL,NULL
NULL,NULL,3,1540,11,NULL,NULL
NULL,NULL,3,1542,12,NULL,NULL
NULL,NULL,3,1544,13,NULL,NULL
NULL,NULL,3,1546,14,NULL,NULL
NULL,NULL,3,1548,15,NULL,NULL
NULL,NULL,3,1550,16,NULL,NULL
NULL,NULL,3,1552,17,NULL,NULL
NULL,NULL,3,1553,18,NULL,NULL
NULL,NULL,3,1554,19,NULL,NULL
NULL,NULL,3,1556,20,NULL,NULL
NULL,NULL,3,1557,21,NULL,NULL
NULL,NULL,3,1558,22,NULL,NULL
NULL,NULL,3,1559,23,NULL,NULL
NULL,NULL,3,1560,24,NULL,NULL
NULL,NULL,3,1561,25,NULL,NULL
NULL,NULL,3,1562,26,NULL,NULL
NULL,NULL,3,1563,27,NULL,NULL
NULL,NULL,3,1564,28,NULL,NULL
NULL,NULL,3,1565,29,NULL,NULL
NULL,NULL,3,1567,30,NULL,NULL
NULL,NULL,3,1568,31,NULL,NULL
NULL,NULL,3,1570,32,NULL,NULL
NULL,NULL,3,1573,33,NULL,NULL
NULL,NULL,2,1520,1,NULL,NULL
NULL,NULL,2,1522,2,NULL,NULL
NULL,NULL,2,1524,3,NULL,NULL
NULL,NULL,2,1526,4,NULL,NULL
NULL,NULL,2,1528,5,NULL,NULL
NULL,NULL,2,1530,6,NULL,NULL
NULL,NULL,2,1532,7,NULL,NULL
NULL,NULL,2,1534,8,NULL,NULL
NULL,NULL,2,1536,9,NULL,NULL
NULL,NULL,2,1538,10,NULL,NULL
NULL,NULL,2,1540,11,NULL,NULL
NULL,NULL,2,1542,12,NULL,NULL
NULL,NULL,2,1544,13,NULL,NULL
NULL,NULL,2,1546,14,NULL,NULL
NULL,NULL,2,1548,15,NULL,NULL
NULL,NULL,2,1550,16,NULL,NULL
NULL,NULL,2,1552,17,NULL,NULL
NULL,NULL,2,1553,18,NULL,NULL
NULL,NULL,2,1554,19,NULL,NULL
NULL,NULL,2,1556,20,NULL,NULL
NULL,NULL,2,1557,21,NULL,NULL
NULL,NULL,2,1558,22,NULL,NULL
NULL,NULL,2,1559,23,NULL,NULL
NULL,NULL,2,1560,24,NULL,NULL
NULL,NULL,2,1561,25,NULL,NULL
NULL,NULL,2,1562,26,NULL,NULL
NULL,NULL,2,1563,27,NULL,NULL
NULL,NULL,2,1564,28,NULL,NULL
NULL,NULL,2,1565,29,NULL,NULL
NULL,NULL,2,1567,30,NULL,NULL
NULL,NULL,2,1568,31,NULL,NULL
NULL,NULL,2,1570,32,NULL,NULL
NULL,NULL,2,1573,33,NULL,NULL
NULL,NULL,4,2780,1,NULL,NULL
NULL,NULL,4,2781,2,NULL,NULL
NULL,NULL,4,2782,3,NULL,NULL
NULL,NULL,4,2783,4,NULL,NULL
NULL,NULL,4,2784,5,NULL,NULL
NULL,NULL,4,2785,6,NULL,NULL
NULL,NULL,4,2786,7,NULL,NULL
NULL,NULL,4,2787,8,NULL,NULL
NULL,NULL,4,2788,9,NULL,NULL
NULL,NULL,4,2789,10,NULL,NULL
NULL,NULL,4,2790,11,NULL,NULL
NULL,NULL,4,2791,12,NULL,NULL
NULL,NULL,4,2792,13,NULL,NULL
NULL,NULL,4,2793,14,NULL,NULL
NULL,NULL,4,2794,15,NULL,NULL
NULL,NULL,4,2795,16,NULL,NULL
NULL,NULL,4,2796,17,NULL,NULL
NULL,NULL,4,2797,18,NULL,NULL
NULL,NULL,4,2798,19,NULL,NULL
NULL,NULL,4,2800,20,NULL,NULL
NULL,NULL,4,2801,21,NULL,NULL
NULL,NULL,4,2802,22,NULL,NULL
NULL,NULL,4,2803,23,NULL,NULL
NULL,NULL,4,2804,24,NULL,NULL
NULL,NULL,4,2805,25,NULL,NULL
NULL,NULL,4,2806,26,NULL,NULL
NULL,NULL,4,2807,27,NULL,NULL
NULL,NULL,4,2808,28,NULL,NULL
NULL,NULL,4,2809,29,NULL,NULL
NULL,NULL,4,2811,30,NULL,NULL
NULL,NULL,4,2812,31,NULL,NULL
NULL,NULL,4,2814,32,NULL,NULL
NULL,NULL,4,2817,33,NULL,NULL
