AUDITUSER,AUDITTIMESTAMP,ID,STATUS,METHODNAME,METHODDESC,METHODTYPE,METHODPROC,METHODGROUP,METHODACRONYM
---------,--------------,--,------,----------,----------,----------,----------,-----------,-------------
NULL,"2025-08-27 11:33:03.423",1,0,8260+OX,8260+OX,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.487",2,0,8260BOS,8260BOS,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.513",3,0,8260FA,8260FA,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.540",4,0,8260FAB,8260FAB,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.570",5,0,8260SIM,8260SIM,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.600",6,0,8260TPB,8260TPB,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.627",7,0,8260TPH,8260TPH,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.657",8,0,8270COS,8270COS,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.690",9,0,8270SIM,8270SIM,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.713",10,0,AK101E,AK101E,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.740",11,0,AK102_3,AK102_3,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.770",12,0,AK102E,AK102E,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.800",13,0,AK103,AK103,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.827",14,0,BTSNTOT,BTSNTOT,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.860",15,0,CL272.2,CL272.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.887",16,0,CL273.1,CL273.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.913",17,0,CL279.2,CL279.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.940",18,0,CL335.2,CL335.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.967",19,0,E120.1,E120.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:03.993",20,0,E160.5,E160.5,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.020",21,0,E1600,E1600,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.043",22,0,E1613A,E1613A,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.070",23,0,E1613B,E1613B,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.097",24,0,E1624,E1624,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.120",25,0,E1625C,E1625C,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.150",26,0,E1639,E1639,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.180",27,0,E170.1,E170.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.203",28,0,E180.1,E180.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.240",29,0,E200.7,E200.7,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.263",30,0,E206.4,E206.4,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.293",31,0,E270.3,E270.3,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.327",32,0,E272.1,E272.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.357",33,0,E272.2,E272.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.383",34,0,E273.1,E273.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.420",35,0,E273.2,E273.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.453",36,0,E279.2,E279.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.483",37,0,E282.1,E282.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.527",38,0,E283.1,E283.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.563",39,0,E283.2,E283.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.593",40,0,E286.1,E286.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.630",41,0,E286.2,E286.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.660",42,0,E289.1,E289.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.693",43,0,E289.2,E289.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.720",44,0,E300.0,E3000,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.750",45,0,E335.2,E335.2,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.780",46,0,E335.3,E335.3,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.807",47,0,E335.4,E335.4,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.840",48,0,E370.1,E370.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.867",49,0,E375.1,E375.1,0,"",NULL,NULL
NULL,"2025-08-27 11:33:04.900",50,0,E375.2,E375.2,0,"",NULL,NULL
