ID,AUDITUSER,AUDITTIMESTAMP,CODE,DESCRIPTION,RECORDER,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9
--,---------,--------------,----,-----------,--------,---,---,---,---,---,---,---,---,---
1,UP784,"2024-02-19 14:05:03.000",NO,None,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,UP784,"2024-02-19 14:05:03.000",BR,"Broken in transit",2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,UP784,"2024-02-19 14:05:03.000",CL,"Chlorine present (in sample)",3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,UP784,"2024-02-19 14:05:03.000",EH,"Exceeded hold TEXT",4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,UP784,"2024-02-19 14:05:03.000",EV,"Excessive volume",5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,UP784,"2024-02-19 14:05:03.000",FZ,"Frozen Sample",6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,UP784,"2024-02-19 14:05:03.000",HB,"Heavy Bacterial Growth",7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,UP784,"2024-02-19 14:05:03.000",ST,"Heavy silt or turbidity present",8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,UP784,"2024-02-19 14:05:03.000",IN,"Insufficient sample information",9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,UP784,"2024-02-19 14:05:03.000",BP,"Invalid sampling point",10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,UP784,"2024-02-19 14:05:03.000",IP,"Invalid sampling protocol",11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,UP784,"2024-02-19 14:05:03.000",LA,"Lab accident",12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,UP784,"2024-02-19 14:05:03.000",LR,"Lab rejected",13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,UP784,"2024-02-19 14:05:03.000",LT,"Leaked in transit",14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,UP784,"2024-02-19 14:05:03.000",NC,"No field-measured chlorine residual",15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,UP784,"2024-02-19 14:05:03.000",VO,"Volume insufficient",16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,UP814,"2025-07-23 08:39:30.000",ND,"No Discharge",17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
