AUDITUSER,AUDITTIMESTAMP,ID,SAMPLENUM,SAMPLEDEFID,PROJECT,LOCATIONID,DATECOLLECTIONDUE,DATECOMPLETE,SAMPLEDBY,SAMPLEDTTIME,RECTYPE,SCHEDULETYPE,SAMPLESTATUS,SAMPLETYPEID,PH,TEMP,DO,NOTES,WASITPRINTED,SAMPLECOST,MISCCOST,TOTALCOST,CUSTOMERID,SAMPLEUD1,SAMPLEUD2,SAMPLEUD3,SAMPLEUD4,SAMPLEUD5,PARENTID,ASSIGNEDTOID,RECEIVEDBY,RECEIVED_DATETIME,LABID,SAMPLEVOLUME,PICKUPCOST,PREPCOST,TOTALTESTCOST,DISCOUNT,TAXRATE,SAMPLEUD6,SAMPLEUD7,SAMPLEUD8,SAMPLEUD9,PAYMENT,PAYMENTTYPE,PAYMENTNOTES,REJECTIONCODE,SAMPLENAME,SAMPLEDBYNAME,RCVDBYNAME,SAMPLELOCATION,ADHOC,LATEEMAILSENT,DUEEMAILSENT,ISCOMPLIANCE,LATERESULTEMAILSENT,NORESULTEMAILSENT
---------,--------------,--,---------,-----------,-------,----------,-----------------,------------,---------,------------,-------,------------,------------,------------,--,----,--,-----,------------,----------,--------,---------,----------,---------,---------,---------,---------,---------,--------,------------,----------,-----------------,-----,------------,----------,--------,-------------,--------,-------,---------,---------,---------,---------,-------,-----------,------------,-------------,----------,-------------,----------,--------------,-----,-------------,------------,------------,-------------------,-----------------
NARANJODL,"2025-08-27 12:03:57.000",1,250901-0001,2,NULL,101,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-08-27 12:03:57.000",2,251201-0001,2,NULL,101,"2025-12-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-08-27 12:03:58.000",3,260302-0001,2,NULL,101,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-08-27 12:03:58.000",4,260601-0001,2,NULL,101,"2026-06-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:17:46.000",5,251006-0001,3,NULL,102,"2025-10-06 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:17:46.000",6,260105-0001,3,NULL,102,"2026-01-05 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-05 13:17:46.000",7,260406-0001,3,NULL,102,"2026-04-06 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:32:57.000",80,250901-0018,24,NULL,118,"2025-09-01 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
NARANJODL,"2025-09-08 12:32:57.000",81,260302-0019,24,NULL,118,"2026-03-02 00:00:00.000",NULL,0,NULL,0,Regular,0,1,NULL,NULL,NULL,"",0,0.0,0.0,0.0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,0.0,0.0,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,-1,NULL,NULL
