AUDITUSER,AUDITTIMESTAMP,SAMPLEDEFID,TESTID,VARID,LABID,MAXHOLDTIME,RECORDER
---------,--------------,-----------,------,-----,-----,-----------,--------
NULL,"2025-09-08 14:08:13.440",50,42,3588,0,0.0,13
NULL,"2025-09-08 14:08:13.450",50,41,3589,0,0.0,14
NULL,"2025-09-08 14:08:13.460",50,40,3590,0,0.0,15
NULL,"2025-09-08 14:08:13.470",50,39,3591,0,0.0,16
NULL,"2025-09-08 14:08:13.480",50,21,3596,0,0.0,17
NULL,"2025-09-08 14:08:13.490",50,37,3602,0,0.0,18
NULL,"2025-09-08 14:08:13.497",50,35,3603,0,0.0,19
NULL,"2025-09-08 14:08:13.507",50,36,3605,0,0.0,20
NULL,"2025-09-08 14:08:13.513",50,44,3615,0,0.0,21
NULL,"2025-09-08 14:08:13.523",50,46,3616,0,0.0,22
NULL,"2025-09-08 14:08:13.530",50,48,3618,0,0.0,23
NULL,"2025-09-08 14:08:13.540",50,51,3606,0,0.0,24
NULL,"2025-09-08 14:08:13.550",50,27,3607,0,0.0,25
NULL,"2025-09-08 14:08:13.560",50,26,3608,0,0.0,26
NULL,"2025-09-08 14:08:13.570",50,28,3609,0,0.0,27
NULL,"2025-09-08 14:08:13.580",50,47,3617,0,0.0,28
NULL,"2025-09-08 14:08:13.587",50,29,3610,0,0.0,29
NULL,"2025-09-08 14:08:13.597",50,30,3611,0,0.0,30
NULL,"2025-09-08 12:33:54.483",24,24,2196,0,0.0,1
NULL,"2025-09-08 12:33:54.490",24,25,2198,0,0.0,2
NULL,"2025-09-08 12:33:54.500",24,27,2200,0,0.0,3
NULL,"2025-09-08 12:33:54.507",24,26,2202,0,0.0,4
NULL,"2025-09-08 12:33:54.513",24,28,2204,0,0.0,5
NULL,"2025-09-08 12:33:54.523",24,29,2206,0,0.0,6
NULL,"2025-09-08 12:33:54.530",24,30,2208,0,0.0,7
NULL,"2025-09-08 12:33:54.537",24,31,2210,0,0.0,8
NULL,"2025-09-08 12:33:54.547",24,32,2212,0,0.0,9
NULL,"2025-09-08 12:36:09.543",25,19,2254,0,0.0,1
