AUDITUSER,AUDITTIMESTAMP,ID,VARID,NAME,DESCRIPTION,STARTDATE,ENDDATE,COMPARE,LIMIT_VALUE,GROUPING,STATISTIC,EVENTTYPEID,DOCID,LIMIT_VALUE_DISPLAY
---------,--------------,--,-----,----,-----------,---------,-------,-------,-----------,--------,---------,-----------,-----,-------------------
RUSTAF,"2024-07-09 12:03:37.000",1,21,AMAX,"Yearly Maximum Limit","2021-10-01 00:00:00.000","2099-12-31 00:00:00.000",>,3144.4000000000001,Y,Total,NULL,NULL,3144.4
RUSTAF,"2024-08-16 09:01:32.000",6,119,AMAX,"Yearly Average Maximum Limit","2015-01-01 00:00:00.000","2070-01-10 00:00:00.000",=,6720.0,V,None,NULL,NULL,6720
RUSTAF,"2024-08-08 15:55:36.000",3,100,AMAX,"Yearly Average Maximum Limit","2000-12-05 00:00:00.000","2025-12-05 00:00:00.000",>,5602.0,Y,Total,NULL,NULL,5602
RUSTAF,"2024-08-14 08:09:13.000",4,110,AMAX,"Yearly Average Maximum Limit","2015-01-01 00:00:00.000","2028-11-30 00:00:00.000",=,500.0,Y,Total,NULL,NULL,500
RUSTAF,"2024-08-15 14:38:43.000",5,117,AMAX,"Yearly Average Maximum Limit","2015-01-01 00:00:00.000","2081-12-31 00:00:00.000",=,100000.0,Y,Total,NULL,NULL,100000
RUSTAF,"2024-09-05 10:52:17.000",9,130,AMIN,"Yearly Average Minimum Limit","2018-12-01 00:00:00.000","2068-11-30 00:00:00.000",=,16000.0,Y,Total,NULL,NULL,16000
RUSTAF,"2024-09-30 11:49:10.000",10,66,AMIN,"Yearly Average Minimum Limit","2015-01-01 00:00:00.000","2070-12-31 00:00:00.000",>=,11210.0,Y,Total,NULL,NULL,11210
RUSTAF,"2024-09-30 11:24:24.000",11,39,AMIN,"Yearly Average Minimum Limit","2015-01-01 00:00:00.000","2070-12-31 00:00:00.000",>=,3363.0,Y,Total,NULL,NULL,3363
RUSTAF,"2024-09-30 13:48:54.000",12,57,AMIN,"Yearly Average Minimum Limit","2022-12-01 00:00:00.000","2027-12-01 00:00:00.000",>=,10.0,Y,Total,NULL,NULL,10
MANGHAMW,"2024-12-19 10:58:34.000",20,191,DMIN,"Daily Minimum Limit","2015-01-01 00:00:00.000","2021-12-31 00:00:00.000",<,0.0,V,None,NULL,NULL,0
RUSTAF,"2024-08-16 09:09:45.000",7,67,AMAX,"Yearly Average Maximum Limit","2015-01-01 00:00:00.000","2070-12-31 00:00:00.000",=,11210.0,Y,Total,NULL,NULL,11210
RUSTAF,"2024-08-16 09:11:21.000",8,79,AMAX,"Yearly Average Maximum Limit","2015-01-01 00:00:00.000","2099-12-31 00:00:00.000",=,47880.0,Y,Total,NULL,NULL,47880
RUSTAF,"2024-09-30 13:52:26.000",13,42,AMIN,"Yearly Average Minimum Limit","2007-08-22 00:00:00.000","2041-12-01 00:00:00.000",>=,893.0,Y,Total,NULL,NULL,893
RUSTAF,"2024-09-30 15:11:38.000",14,54,AMIN,"Yearly Average Minimum Limit","2020-12-01 00:00:00.000","2025-11-30 00:00:00.000",>=,10.0,Y,Total,NULL,NULL,10
RUSTAF,"2024-09-30 15:14:08.000",15,45,AMIN,"Yearly Average Minimum Limit","2023-12-01 00:00:00.000","2028-11-30 00:00:00.000",>=,740.0,Y,Total,NULL,NULL,740
RUSTAF,"2024-09-30 15:16:04.000",16,48,AMIN,"Yearly Average Minimum Limit","2023-12-01 00:00:00.000","2028-11-30 00:00:00.000",>=,25.0,Y,Total,NULL,NULL,25
RUSTAF,"2024-09-30 15:17:28.000",17,90,AMIN,"Yearly Average Minimum Limit","2023-12-01 00:00:00.000","2028-11-30 00:00:00.000",>=,10.0,Y,Total,NULL,NULL,10
RUSTAF,"2024-09-30 15:19:31.000",18,51,AMIN,"Yearly Average Minimum Limit","2023-12-01 00:00:00.000","2028-11-30 00:00:00.000",>=,500.0,Y,Total,NULL,NULL,500
RUSTAF,"2024-10-03 08:26:14.000",19,80,AMIN,"Yearly Average Minimum Limit","2015-01-01 00:00:00.000","2099-12-31 00:00:00.000",>=,450.0,Y,Total,NULL,NULL,450
