AUDITUSER,AUDITTIMESTAMP,ID,VARORDER,VARID,COLWIDTH,HDRBACKCOLOR,HDRFORECOLOR,COLBACKCOLOR,COLFORECOLOR,COLTYPE,FACILITYFILENAME
---------,--------------,--,--------,-----,--------,------------,------------,------------,------------,-------,----------------
NULL,NULL,72,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,72,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,25,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,25,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,25,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,25,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,25,0,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,25,1,23,14.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,25,2,20,14.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,26,-1000,-1000,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,26,-999,-999,21.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,26,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,26,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,26,0,0,5.0,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,26,1,23,14.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,26,2,20,14.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,72,-997,-997,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,72,0,0,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,72,1,1275,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,2,1276,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,3,1277,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,4,1278,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,72,5,1279,-1.0,-1,-1,NULL,NULL,Variable,NULL
NULL,NULL,24,-1000,-1000,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,24,-999,-999,43.3125,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,24,-998,-998,10.5,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,24,0,0,5.0,-1,0,NULL,NULL,NULL,NULL
NULL,NULL,24,1,25,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,2,26,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,3,27,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,4,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,5,33,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,6,34,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,7,35,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,8,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,9,36,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,10,37,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,11,38,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,12,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,13,39,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,14,40,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,15,41,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,16,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,17,42,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,18,43,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,19,44,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,20,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,21,45,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,22,46,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,23,47,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,24,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,25,48,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,26,49,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,27,50,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,28,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,29,51,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,30,52,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,31,53,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,32,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,33,54,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,34,55,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,35,56,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,36,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,37,57,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,38,58,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,39,59,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,40,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,41,60,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,42,61,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,43,62,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,44,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,45,63,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,46,64,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,47,65,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,48,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,49,66,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,50,67,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,51,68,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,52,-9999,4.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,53,69,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,54,70,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,55,71,11.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,56,-9999,-1.0,-1,-1,NULL,NULL,NULL,NULL
NULL,NULL,24,57,115,-1.0,-1,-1,NULL,NULL,NULL,NULL
