AUDITUSER,AUDITTIMESTAMP,SETTING,CURVALUE
---------,--------------,-------,--------
RUSTAF,"2025-09-15 15:20:58.000",DATAVERSION,836
NULL,NULL,LockDate,01/01/1970
NULL,NULL,EQ244,01/01/2001
NULL,"2025-09-04 08:19:31.160",VARDESC_UPDATED,0
NULL,"2025-09-11 07:34:59.413",LOCATION_UPDATED,0
NULL,"2025-03-13 08:59:57.300",AREA_UPDATED,0
NULL,"2024-02-19 14:00:05.890",MDE_LOCATION_EGROUPID,0
NARANJODL,"2025-08-25 13:49:30.000",LABCAL-COLWIDTH,20
NARANJODL,"2025-08-25 13:49:30.000",LABCAL-ROWHEIGHT,10
NARANJODL,"2025-08-25 13:49:30.000",LABCAL-FONTSIZE,8
NARANJODL,"2025-08-25 13:49:30.000",LABCAL-SAMPNUM-EDIT,OFF
NARANJODL,"2025-08-25 13:49:30.000",LABCAL-DISPLAYMAXCOL,366
NARANJODL,"2025-08-25 13:49:30.000",LABCAL-BACKDAYS,60
SUPER,"2024-02-19 14:05:04.000","Hach Built-In Reports_Update_Req",N
SUPER,"2024-02-19 14:05:04.000",101_Update_Req,N
NULL,NULL,101_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",102_Update_Req,N
NULL,NULL,102_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",103_Update_Req,N
NULL,NULL,103_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",104_Update_Req,N
NULL,NULL,104_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",105_Update_Req,N
NULL,NULL,105_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",106_Update_Req,N
NULL,NULL,106_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",107_Update_Req,N
NULL,NULL,107_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",108_Update_Req,N
NULL,NULL,108_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",109_Update_Req,N
NULL,NULL,109_RGROUPID,0
SUPER,"2024-02-19 14:05:04.000",110_Update_Req,N
NULL,NULL,110_RGROUPID,0
NARANJODL,"2025-08-25 13:49:30.000",VAR-DISPLAY-SETTING,NAME
NARANJODL,"2025-08-25 13:49:30.000",CDE-DEFAULT-TEXT,Yesterday
CASSADYTL,"2025-06-25 07:54:14.000",VARSETUP_LOCKED,0
NARANJODL,"2025-08-25 13:49:30.000",MDE-SHOW-CALC-BUTTONS,""
NARANJODL,"2024-07-31 12:17:02.000",CalcDataApprovalMode,-1024
SUPER,"2024-12-20 10:23:51.000","Hach LabCal Reports_Update_Req",N
SUPER,"2024-12-20 10:23:51.000",111_Update_Req,N
NULL,NULL,111_RGROUPID,2
SUPER,"2024-12-20 10:23:51.000",112_Update_Req,N
NULL,NULL,112_RGROUPID,2
SUPER,"2024-12-20 10:23:51.000",113_Update_Req,N
NULL,NULL,113_RGROUPID,2
SUPER,"2024-12-20 10:23:51.000",114_Update_Req,N
NULL,NULL,114_RGROUPID,2
SUPER,"2024-12-20 10:23:51.000",115_Update_Req,N
NULL,NULL,115_RGROUPID,2
SUPER,"2024-12-20 10:23:51.000",116_Update_Req,N
NULL,NULL,116_RGROUPID,2
NARANJODL,"2024-12-20 10:23:50.000",LABCAL-SAMPLENUM-FORMAT,yymmdd-ssss
NARANJODL,"2025-08-25 13:49:30.000",CDE-AUTO-COND-FORMAT,On
NARANJODL,"2025-08-25 13:49:30.000",RPT-EXPORT-TEXT-FORMAT-SUFFIX,""
NARANJODL,"2025-08-25 13:49:30.000",STD-VAR-NAME-MODE,ON
NARANJODL,"2025-08-25 13:49:30.000",NOTIFICATIONSNOOZE,OFF
NARANJODL,"2025-08-25 13:49:30.000",REFRESHLOCS,OFF
NARANJODL,"2025-08-25 13:49:30.000",RPT-OUTPUT-DEFAULT,INTERACTIVE
NARANJODL,"2025-08-25 13:49:30.000",COMPENG-REGLIMIT-ROUNDRULE,"NO ROUNDING"
NARANJODL,"2025-08-25 13:49:30.000",SpreadFormulaAutoCheck,900
NARANJODL,"2025-08-25 13:49:30.000",LABCAL-INCLUDECLIENTS-RCVD,N
NARANJODL,"2025-08-25 13:49:30.000",LABCAL_SAMPLEDATE_SETS_SAMPLED,N
NARANJODL,"2025-09-05 13:57:05.000",LC_Filters_LOCKED,0
