AUDITUSER,AUDITTIMESTAMP,ID,REPORTID,PROMPTID,RECORDER,Q,QTYPE,A,PSQL
---------,--------------,--,--------,--------,--------,-,-----,-,----
NARANJODL,"2024-04-03 10:19:47.000",1,5,1,1,"Variable List",1005,1,""
CASSADYTL,"2024-04-03 10:30:34.000",2,6,1,1,Var1,5,1,""
CASSADYTL,"2024-04-03 10:30:34.000",3,6,2,2,Var2,5,11,""
CASSADYTL,"2024-04-03 10:30:34.000",4,6,3,3,Var3,5,21,""
CASSADYTL,"2024-04-03 10:30:34.000",5,6,4,4,Var4,5,41,""
CASSADYTL,"2024-04-03 10:30:34.000",6,6,5,5,Var5,5,42,""
CASSADYTL,"2024-04-03 10:30:34.000",7,6,6,6,Var6,5,12,""
CASSADYTL,"2024-04-03 10:30:34.000",8,6,7,7,Var7,5,4001,""
CASSADYTL,"2024-04-03 10:30:34.000",9,6,8,8,Var8,5,1027,""
CASSADYTL,"2024-04-03 10:30:34.000",10,6,9,9,Var9,5,4011,""
CASSADYTL,"2024-04-03 10:30:34.000",11,6,10,10,Var10,5,4012,""
CASSADYTL,"2024-04-03 10:31:57.000",12,7,1,1,Var1,5,1,""
CASSADYTL,"2024-04-03 10:31:57.000",13,7,2,2,Var2,5,2,""
CASSADYTL,"2024-04-03 10:31:57.000",14,7,3,3,Var3,5,11,""
CASSADYTL,"2024-04-03 10:31:57.000",15,7,4,4,Var4,5,12,""
CASSADYTL,"2024-04-03 10:31:57.000",16,7,5,5,Var5,5,41,""
CASSADYTL,"2024-04-03 10:31:57.000",17,7,6,6,Var6,5,42,""
CASSADYTL,"2024-04-03 10:31:57.000",18,7,7,7,Var7,5,611,""
CASSADYTL,"2024-04-03 10:31:57.000",19,7,8,8,Var8,5,4001,""
CASSADYTL,"2024-04-03 10:31:57.000",20,7,9,9,Var9,5,4011,""
CASSADYTL,"2024-04-03 10:33:08.000",21,8,1,1,Variable,5,1,""
CASSADYTL,"2024-04-03 10:35:33.000",22,10,1,1,UserName,1,Super,""
