REPORTID,SHEETNUM,PRINTTYPE,PRINTAREA_STARTCOL,PRINTAREA_STARTROW,PRINTAREA_ENDCOL,PRINTAREA_ENDROW,ORIENTATION,PAPERSIZE,MARGINTOP,MARGINBOTTOM,MARGINLEFT,MARGINRIGHT,SCALINGMETHOD,SCALINGZOOM,BESTFITPAGESWIDE,BESTFITPAGESTALL,PRINTFOOTER,PRINTHEADER,PAPERHEIGHT,PAPERWIDTH
--------,--------,---------,------------------,------------------,----------------,----------------,-----------,---------,---------,------------,----------,-----------,-------------,-----------,----------------,----------------,-----------,-----------,-----------,----------
1,1,1,2,1,15,44,2,1,0.0,0.0,0.29999999999999999,0.0,3,100,1,1,"","",11,8
2,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
3,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
4,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
5,1,1,1,1,9,45,2,1,0.0,0.0,0.0,0.0,3,100,1,1,"","",11,8
6,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,3,100,1,1,"","",11,8
7,1,1,3,1,12,45,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
8,1,1,1,1,30,44,2,1,0.0,0.0,0.0,0.0,0,100,2,1,"","",11,8
9,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
10,1,0,-1,-1,-1,-1,1,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
11,1,0,-1,-1,-1,-1,1,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
12,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
13,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
14,1,0,-1,-1,-1,-1,2,1,0.0,0.0,0.0,0.0,0,100,1,1,"","",11,8
