AUDITUSER,AUDITTIMESTAMP,FIELDNAME,CAPTION
---------,--------------,---------,-------
CASSADYTL,"2025-06-25 07:46:31.000",UD1,"DB VIew 1"
CASSADYTL,"2025-06-25 07:46:31.000",UD2,"DB View 2"
CASSADYTL,"2025-06-25 07:46:31.000",UD3,"DB View 3"
CASSADYTL,"2025-06-25 07:46:31.000",UD4,"DB View 4"
CASSADYTL,"2025-06-25 07:46:31.000",UD5,"DB View 5"
CASSADYTL,"2025-06-25 07:46:31.000",UD6,"DB View 6"
CASSADYTL,"2025-06-25 07:46:31.000",UD7,"DB View 7"
CASSADYTL,"2025-06-25 07:46:31.000",UD8,"DB View 8"
CASSADYTL,"2025-06-25 07:46:31.000",UD9,Inactive
NARANJODL,"2024-07-09 10:08:19.000",LOC1,WR_ID
NARANJODL,"2024-07-09 10:09:10.000",LOC2,Customer_ID
NARANJODL,"2024-07-09 12:18:51.000",LOC3,Region
RUSTAF,"2024-07-31 08:17:01.000",LOC4,Use
RUSTAF,"2024-08-27 09:17:28.000",LOC5,Category
RUSTAF,"2024-09-09 14:01:00.000",LOC6,"Contract TEXT"
RUSTAF,"2024-09-10 14:23:25.000",LOC7,Lat/Long
RUSTAF,"2025-05-23 09:13:03.000",LOC8,"Contract Change"
MANGHAMW,"2024-12-19 17:33:23.000",LOC9,Test
