AUDITUSER,AUDITTIMESTAMP,VARID,ACTION,CHANGED_FIELD,OLDVALUE,NEWVALUE
---------,--------------,-----,------,-------------,--------,--------
NARANJODL,"2024-07-09 14:04:11.170",26,2,VARNUM,28,27
NARANJODL,"2024-07-09 14:04:19.723",27,2,VARNUM,30,28
MANGHAMW,"2024-12-19 10:16:58.450",190,2,VARNUM,174,10001
MANGHAMW,"2024-12-19 10:51:04.660",1,2,VARNUM,1,9991
MANGHAMW,"2024-12-19 10:51:36.220",1,2,VARNUM,9991,1
RUSTAF,"2024-12-20 12:59:29.503",194,2,VARNUM,10004,174
CASSADYTL,"2025-02-20 07:06:11.010",235,2,VARNUM,10051,10039
CASSADYTL,"2025-02-20 11:51:31.553",239,2,VARNUM,10051,10043
CASSADYTL,"2025-02-20 11:52:43.430",240,2,VARNUM,10051,10044
CASSADYTL,"2025-02-20 11:53:42.590",241,2,VARNUM,10051,10045
CASSADYTL,"2025-02-20 11:54:49.250",242,2,VARNUM,10051,10046
CASSADYTL,"2025-02-20 15:14:19.087",244,2,VARNUM,10051,10048
KILPATRICKA,"2025-07-30 11:09:32.563",1,2,VARNUM,1,150000
KILPATRICKA,"2025-07-30 11:09:52.790",2,2,VARNUM,2,150001
KILPATRICKA,"2025-07-30 11:10:11.113",3,2,VARNUM,3,150002
KILPATRICKA,"2025-07-30 11:10:21.410",4,2,VARNUM,4,150003
KILPATRICKA,"2025-07-30 11:10:40.030",5,2,VARNUM,5,150004
KILPATRICKA,"2025-07-30 11:11:10.593",6,2,VARNUM,6,150005
KILPATRICKA,"2025-07-30 11:35:31.843",7,2,VARNUM,7,150006
KILPATRICKA,"2025-07-30 11:35:43.893",8,2,VARNUM,8,150007
KILPATRICKA,"2025-07-30 11:35:59.983",9,2,VARNUM,9,150008
KILPATRICKA,"2025-07-30 11:36:13.277",10,2,VARNUM,10,150009
KILPATRICKA,"2025-07-30 11:36:25.810",11,2,VARNUM,11,150010
KILPATRICKA,"2025-07-30 11:36:36.873",12,2,VARNUM,12,150011
KILPATRICKA,"2025-07-30 11:37:08.713",13,2,VARNUM,13,150012
KILPATRICKA,"2025-07-30 11:37:23.783",14,2,VARNUM,14,150013
KILPATRICKA,"2025-07-30 11:38:15.203",169,2,VARNUM,21,150014
KILPATRICKA,"2025-07-30 11:39:34.177",15,2,VARNUM,15,2100
KILPATRICKA,"2025-07-30 11:39:45.570",16,2,VARNUM,16,2101
KILPATRICKA,"2025-07-30 11:40:04.053",18,2,VARNUM,18,2120
KILPATRICKA,"2025-07-30 11:40:14.627",20,2,VARNUM,20,2121
KILPATRICKA,"2025-07-30 11:40:44.800",23,2,VARNUM,23,2122
KILPATRICKA,"2025-07-30 11:40:56.097",25,2,VARNUM,26,1
